id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10778114,1 Bedroom Apartment For Short Term,51820708,Wannapat,,Dublin City,53.33869571152222,-6.234601104389127,Private room,120,10,0,,,1,362
14348712,Large Ensuite Bedroom with Balcony,77493883,Laura,,Dublin City,53.34874433868315,-6.260862375887765,Private room,75,2,5,2016-09-23,0.90,1,84
15749806,Private & Spacious Ensuite Double Bedroom,91978152,Kevin,,Dublin City,53.35983301048338,-6.296731315908479,Private room,69,3,2,2016-11-28,0.62,1,40
9602076,"Industrial City Centre, D2",13513639,Ian,,Dublin City,53.34240978886875,-6.243730389891488,Private room,140,2,10,2016-10-28,0.92,2,355
15952233,Stunning City Centre Luxury  -New-,103567560,Titi,,Dublin City,53.3547770274313,-6.257874666071441,Entire home/apt,129,1,17,2017-02-17,6.07,2,110
14737754,Whole 2 bed Apt near TEMPLE BAR,9998968,Martin,,Dublin City,53.35253246369035,-6.262745615728761,Entire home/apt,124,3,25,2017-02-12,4.49,7,18
3592153,Victorian Style 4 Bed City Centre,17259900,Conor,,Dublin City,53.3319880926185,-6.227409460673334,Entire home/apt,450,2,58,2017-02-12,1.95,1,311
17230584,Nice apartment in super location .,50930205,Oyunaa,,Dublin City,53.34681055515098,-6.254482360672001,Entire home/apt,160,1,0,,,3,200
10932760,"Comfortable double, great location",27514157,Deandub1,,Dublin City,53.32085042771256,-6.244353375019749,Private room,65,2,1,2016-03-22,0.09,1,223
13168698,Nice bedroom in city center,73572060,Mathilde,,Dublin City,53.353068299108955,-6.24969778230086,Private room,67,2,0,,,1,0
14621438,Double room in nice house close to all amenities,758607,Rita,,Dublin City,53.391034087615346,-6.3120577628512935,Private room,45,1,7,2017-02-01,1.15,1,361
3735789,Bed & Breakfast near City Centre,11718729,Conj,,Dublin City,53.33365529109524,-6.26940332561021,Private room,85,2,46,2016-12-19,1.53,6,356
11255072,Modern Cottage :),58390947,Philip,,Dublin City,53.39117711803661,-6.3003589598469905,Private room,50,3,7,2016-12-14,1.76,1,42
12988227,Lovely room next to Temple Bar area,53597568,Ligia,,Dublin City,53.34190174798395,-6.275074490316152,Private room,190,1,0,,,2,201
16080628,Comfy dbl. bedroom - close to CityCentre & Airport,34508497,Vik & Dama,,Dublin City,53.373432780225095,-6.2385583957683854,Private room,38,2,4,2017-01-24,1.60,1,40
6456408,Twin Double Bedroom in Rathmines,29619787,Rory,,Dublin City,53.32216857436753,-6.272500080380889,Private room,70,1,7,2016-08-15,0.37,2,0
4075119,3 x Double Bedroom House & Garden,8107028,Mick & Shay,,Dublin City,53.364897977082286,-6.182637679279997,Entire home/apt,195,3,10,2016-12-31,0.42,2,18
7524194,One Bedroom Suite,39428476,"PREMIER SUITES PLUS, Dublin Lesson",,Dublin City,53.33391752784383,-6.256531426347015,Private room,159,2,0,,,2,254
5156988,Top Foor Dble room+Balcony&View. 3,9998968,Martin,,Dublin City,53.3477000036094,-6.236858665976302,Private room,67,3,96,2017-02-17,3.93,7,287
10780210,The Hatch Home,55770197,Luke,,Dublin City,53.333635585222815,-6.256342634784269,Private room,100,1,0,,,1,0
16786741,Cozy Single Room in Grand Canal Docks (Tech HQ's),23278047,Yoeri,,Dublin City,53.34242176923752,-6.233430007384197,Private room,55,2,0,,,2,360
421239,Attic with a View &  Private Bathrm,1976386,Noeleen,,Dublin City,53.36637758930639,-6.273754650414167,Private room,68,2,67,2017-02-12,1.18,2,57
711324,Modern Duplex - 2 Double beds,3660754,Julien,,Dublin City,53.33666575363749,-6.291732640911403,Entire home/apt,117,15,0,,,1,293
13052587,Sorry no longer available Apols,72253535,Kevin,,Dublin City,53.31509100652278,-6.231111308870182,Entire home/apt,100,18,8,2016-09-08,0.87,1,365
14588096,THE GARDEN APARTMENT @ SYNGE STREET,40262548,Anne,,Dublin City,53.333927958000736,-6.267541497446029,Entire home/apt,140,2,18,2017-02-13,3.10,1,156
14012265,"Rugby Road, Ranelagh",80320178,David,,Dublin City,53.32579887039745,-6.258093128093305,Entire home/apt,120,4,1,2016-08-06,0.15,1,0
12905439,Cosy Room in the Heart of Dublin,70703835,Sinead,,Dublin City,53.33611835319561,-6.271643979237468,Private room,75,1,9,2016-08-28,1.02,3,347
14871497,Cozy Double Bedroom in Dublin City Centre!,28189003,Anna & Edu,,Dublin City,53.342345217532845,-6.272067378788632,Private room,72,2,3,2016-10-30,0.61,1,0
14596,"Entire home, embassy district.",57434,Mary,,Dublin City,53.32682326033851,-6.2406049709089295,Entire home/apt,115,3,132,2017-02-05,1.56,1,314
275425,Luxury house near Aviva and beach,1357428,Emma And Chris,,Dublin City,53.32670042761606,-6.209211509915789,Entire home/apt,305,2,2,2014-03-20,0.03,2,336
15610715,Wonderful 3 bed apt in Dublin's Georgian Quarter,34380975,Ciaran,,Dublin City,53.33997187224155,-6.242771390930495,Entire home/apt,250,1,19,2017-01-29,5.14,8,136
8404040,Todo Dublín a cinco minutos.,44272675,Felipe,,Dublin City,53.34278952547045,-6.271100456608882,Private room,80,2,1,2016-05-25,0.11,1,0
11798496,Cozy Double Room.,41373667,Angel,,Dublin City,53.34459321671656,-6.275629954244903,Private room,80,1,3,2016-07-10,0.27,3,0
7503783,Amazing period property  #4,27196622,Philip,,Dublin City,53.325322871883664,-6.276912483179438,Private room,55,1,13,2016-09-05,0.71,4,162
7806387,Comfortable Apartements in Dublin 3,40769953,Marie,,Dublin City,53.356047306727454,-6.233677995266669,Private room,50,1,1,2015-09-14,0.06,1,0
13105158,"Spacious townhouse, park setting, next RDS grounds",55442809,Fiona & Vin,,Dublin City,53.32440554782634,-6.228483643067607,Entire home/apt,1000,1,0,,,1,365
8777085,Custom House Square,46005834,Declan,,Dublin City,53.34903233112102,-6.245773419864448,Private room,80,2,2,2015-12-06,0.13,2,0
13545689,Penthouse Ultimate Luxury  at 5 Star Hotel!,77166525,Sue,,Dublin City,53.3260540017856,-6.226347436259962,Entire home/apt,999,2,0,,,1,171
6880255,"Double Bed Drumcondra, Near Airport",23062646,Megan,,Dublin City,53.36257103199249,-6.250443599359479,Private room,30,3,2,2016-06-07,0.10,1,0
171883,Large Double Bedroom City Centre,5035,Jim,,Dublin City,53.35408048029604,-6.271282618692759,Private room,59,2,47,2017-02-12,0.98,1,96
16945019,Lovely apartment in city centre,99725020,Brian,,Dublin City,53.35676556693536,-6.264255814690079,Entire home/apt,110,3,2,2017-02-17,2,6,52
6841000,"Double bedroom, quite house Dublin",35848156,Angela,,Dublin City,53.33709740470348,-6.273401485723272,Private room,39,1,1,2016-08-07,0.15,2,0
15885025,"Family Home, Dublin 4",103010901,Tara,,Dublin City,53.31064958006212,-6.219828646881963,Entire home/apt,400,4,0,,,1,77
424596,Very Special Oval Georgian Studio,2110301,Karin,,Dublin City,53.354563919672586,-6.258864141482106,Entire home/apt,110,2,218,2017-02-15,3.83,4,283
3051772,Dbl room in Penthouse-City center,3871062,Charlotte,,Dublin City,53.34610556681315,-6.2388400752797395,Private room,85,1,81,2016-03-28,2.42,2,48
16917989,Donnybrook Mews Cottage,1672265,Ben,,Dublin City,53.32775757081715,-6.246180459872737,Entire home/apt,250,1,0,,,1,26
13985603,Double Room in Top Quality Apartment,32265277,Joanne,,Dublin City,53.362681972314704,-6.244972310598342,Private room,55,2,0,,,1,0
15422779,B&B,98845113,Andrea,,Dublin City,53.31975888512932,-6.288100936688205,Private room,50,3,1,2016-11-12,0.30,1,361
1127289,Penthouse in Temple Bar,6183939,Malin,,Dublin City,53.34517451346849,-6.269464666506719,Entire home/apt,125,3,107,2017-01-24,2.55,2,74
11791201,Habitación en el centro Dublín,44147189,Anna & Nuria,,Dublin City,53.342696940530615,-6.280920538822598,Private room,50,1,3,2016-09-26,0.33,1,257
16812211,Clean Cozy Single Room beside Dublin City Center,95181848,Daniel,,Dublin City,53.355848864432275,-6.272157665970078,Private room,40,2,0,,,2,33
