id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14951,The Winged House,58832,Quentin,,Waratah/Wynyard,-40.942291575155956,145.68458774678172,Entire home/apt,441,1,0,,,1,365
35644,Central Hobart Historic Cottage,153268,Yvette,,Hobart,-42.87867673591833,147.31608458436793,Private room,55,1,178,2018-02-13,2.81,2,50
38951,Quayle Terrace,167104,Sue,,Hobart,-42.89336464134003,147.32916086244896,Entire home/apt,190,2,89,2018-01-31,1.00,3,270
84581,Kentisbury Country House,461471,Melissa,,Kentish,-41.388562380363275,146.23209553355977,Entire home/apt,337,2,11,2017-11-11,0.42,1,261
88873,Terrace- 5mins to central Hobart,485048,Russell And Ingrid,,Hobart,-42.88267002007993,147.32400045918334,Entire home/apt,125,1,263,2018-02-13,3.19,1,257
91781,West Hobart Retreat,461347,Di,,Hobart,-42.87470755642788,147.31056051127325,Private room,110,2,107,2018-01-12,1.32,1,113
137808,"Bradman House, Invermay, Launceston",673625,Emma And Dale,,Launceston,-41.42682624622324,147.1290526796545,Entire home/apt,145,1,138,2018-01-31,1.89,2,343
162081,Bed and Breakfast on our island,775015,Patricia,,Kingborough,-43.3647268657516,147.22207665033378,Private room,120,1,318,2018-02-13,4.33,1,334
252996,Cozy Self-Contained Studio Retreat!,1090010,Kit,,Central Coast,-41.23570228275795,146.1347932489771,Entire home/apt,155,2,40,2018-01-08,0.57,2,362
268482,"Anderson Suite, The Ark Stanley, Guest House",1406692,Rhonda,,Circular Head,-40.76486532362734,145.29893094246705,Private room,195,1,1,2016-09-09,0.06,5,357
270374,The Powerhouse @ Eagles Rise,1090010,Kit,,Central Coast,-41.2361282700292,146.13491620246177,Entire home/apt,280,2,18,2018-02-09,0.47,2,360
277558,Ulverstone River Retreat   ,1449320,Katrina,,Central Coast,-41.15213252259202,146.11628718869542,Entire home/apt,175,1,1,2015-06-04,0.03,3,365
278045,Cygnet View Room Plus Sauna,385143,Iris,,Huon Valley,-43.1607075535726,147.08405399468273,Private room,89,1,52,2018-01-14,0.69,2,359
279137,Bluff Views B&B Homestay Tasmania.,1456109,Christine And Garry,,Meander Valley,-41.62063950938151,146.7110020519328,Private room,120,1,74,2018-01-14,1.15,2,264
292399,Rainbow Valley Retreat B&B,1513972,Mandy,,Central Highlands,-42.622599340617256,146.71440899420077,Private room,84,1,104,2018-01-18,1.66,1,357
292447,"Rustic, compact, family friendly...",1514295,Bernd,,Hobart,-42.870001655945856,147.29990743466024,Private room,50,2,83,2018-01-15,1.33,1,360
326771,Derwent Retreat,1670767,John,,Glenorchy,-42.778083185421764,147.25650288046003,Entire home/apt,105,2,8,2018-01-21,0.31,1,2
352015,Mezzanine bedroom - Battery Point.,1782000,Lisa,,Hobart,-42.88923030817035,147.32465555586452,Private room,94,2,172,2018-02-02,2.38,1,334
356624,Private room by the beach and shops,1804975,Judith,,Sorell,-42.866481928506516,147.61930025526317,Private room,65,1,12,2017-01-01,0.24,1,353
383270,Delightful two bed-room Lodge,1920416,Jedda,,Latrobe,-41.17123504897023,146.52442838480135,Private room,170,2,25,2018-02-02,0.38,1,361
401176,Hobart Delight - sunny and welcoming,2002482,Diana,,Hobart,-42.87001792480193,147.32302093309232,Private room,84,1,71,2018-01-19,1.09,1,362
421609,Ashley Court 3 spacious and cosy,2097079,Edward,,Hobart,-42.86709314642987,147.3085365834931,Entire home/apt,145,2,155,2018-02-12,2.20,3,346
421709,Beachbreaks Marion Bay Tasmania,2097536,Dave,,Sorell,-42.82117530443684,147.8430104370763,Entire home/apt,190,3,4,2018-01-11,0.16,1,342
434116,Balcony 2 bedroom Apartment - Jenatt at Salamanca,2157501,Cheryl And Kim,,Hobart,-42.8858711468018,147.33022513480887,Entire home/apt,330,2,81,2018-02-10,1.18,4,298
